Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-02-26,The Killing of a Sacred Deer,2017,https://letterboxd.com/spur_22/film/the-killing-of-a-sacred-deer/,,,2018-01-03
2018-02-26,"Ay, Carmela!",1990,https://letterboxd.com/spur_22/film/ay-carmela/,,,2018-01-03
2018-02-26,Bomb Scared,2017,https://letterboxd.com/spur_22/film/bomb-scared/,,,2018-01-05
2018-02-26,The Great Escape,1963,https://letterboxd.com/spur_22/film/the-great-escape/,,,2018-01-06
2018-02-26,Detroit,2017,https://letterboxd.com/spur_22/film/detroit/,,,2018-01-07
2018-02-26,The Garden of Words,2013,https://letterboxd.com/spur_22/film/the-garden-of-words/,,,2018-01-09
2018-02-26,Loving Vincent,2017,https://letterboxd.com/spur_22/film/loving-vincent/,,,2018-01-11
2018-02-26,Skins,2017,https://letterboxd.com/spur_22/film/skins-2017/,,,2018-01-12
2018-02-26,La La Land,2016,https://letterboxd.com/spur_22/film/la-la-land/,,,2018-01-12
2018-02-26,mother!,2017,https://letterboxd.com/spur_22/film/mother-2017/,,,2018-01-13
2018-02-26,Summer 1993,2017,https://letterboxd.com/spur_22/film/summer-1993/,,,2018-01-14
2018-02-26,Magical Girl,2014,https://letterboxd.com/spur_22/film/magical-girl/,,,2018-01-19
2018-02-26,Munich,2005,https://letterboxd.com/spur_22/film/munich/,,,2018-01-20
2018-02-26,Wide Awake,1998,https://letterboxd.com/spur_22/film/wide-awake/,,,2018-01-21
2018-02-26,The Revenant,2015,https://letterboxd.com/spur_22/film/the-revenant-2015/,,,2018-01-26
2018-02-26,Spotlight,2015,https://letterboxd.com/spur_22/film/spotlight/,,,2018-01-27
2018-02-26,Mutiny on the Bounty,1962,https://letterboxd.com/spur_22/film/mutiny-on-the-bounty-1962/,,,2018-01-28
2018-02-26,1922,2017,https://letterboxd.com/spur_22/film/1922-2017/,,,2018-02-02
2018-02-26,Holy Camp!,2017,https://letterboxd.com/spur_22/film/holy-camp/,,,2018-02-03
2018-02-26,King Arthur: Legend of the Sword,2017,https://letterboxd.com/spur_22/film/king-arthur-legend-of-the-sword/,,,2018-02-09
2018-02-26,The Florida Project,2017,https://letterboxd.com/spur_22/film/the-florida-project/,,,2018-02-10
2018-02-26,Darkest Hour,2017,https://letterboxd.com/spur_22/film/darkest-hour/,,,2018-02-10
2018-02-26,Good Time,2017,https://letterboxd.com/spur_22/film/good-time/,,,2018-02-11
2018-02-26,It Comes at Night,2017,https://letterboxd.com/spur_22/film/it-comes-at-night/,,,2018-02-11
2018-02-26,Obvious Child,2014,https://letterboxd.com/spur_22/film/obvious-child/,,,2018-02-12
2018-02-26,Tusk,2014,https://letterboxd.com/spur_22/film/tusk-2014/,,,2018-02-12
